invoice_no,customer_id,amountall,create_date,due_date,status,paid_date
INV0004070,CUS16858,30129.69,2025-06-14,2025-07-14,0,2025-07-12
INV0027652,CUS55840,341905.4,2024-11-27,2025-01-26,0,2025-07-12
INV0062438,CUS37302,8669.29,2025-02-05,2025-03-07,0,2025-07-12
INV0045990,CUS60300,816961.93,2025-01-27,2025-02-26,0,2025-07-12
INV0024994,CUS17339,563405.83,2025-07-01,2025-08-30,0,2025-07-12
INV0069670,CUS49162,596135.87,2024-09-17,2024-10-17,0,2025-07-12
INV0059899,CUS66049,232582.62,2025-02-20,2025-03-22,0,2025-07-12
INV0062370,CUS31742,55113.27,2025-01-19,2025-03-20,0,2025-07-12
INV0004775,CUS29825,335553.7,2024-10-05,2024-12-04,0,2025-07-12
INV0034165,CUS49529,631171.98,2025-05-09,2025-06-08,0,2025-07-12
INV0065110,CUS39743,294651.76,2024-11-29,2024-12-29,0,2025-07-12
INV0003862,CUS54545,359293.26,2025-05-27,2025-06-26,0,2025-07-12
INV0013600,CUS30378,646413.28,2024-10-20,2024-12-19,0,2025-07-12
INV0012014,CUS65897,325121.16,2025-05-01,2025-05-31,0,2025-07-12
INV0057431,CUS74227,215993.88,2024-08-16,2024-09-15,0,2025-07-12
INV0000057,CUS78879,278900.99,2025-02-20,2025-03-22,0,2025-07-12
INV0019964,CUS54097,333832.88,2025-01-04,2025-02-03,0,2025-07-12
INV0012485,CUS53499,881274.09,2024-12-01,2025-01-30,0,2025-07-12
INV0027718,CUS46472,332714.41,2025-03-06,2025-04-05,0,2025-07-12
INV0043581,CUS73722,1605.44,2024-09-22,2024-10-22,0,2025-07-12
INV0036527,CUS58866,18228.74,2024-11-17,2025-01-16,0,2025-07-12
INV0062976,CUS54061,137767.61,2025-03-16,2025-05-15,0,2025-07-12
INV0011210,CUS07160,730717.99,2024-10-15,2024-11-14,0,2025-07-12
INV0025853,CUS28058,277887.05,2025-05-09,2025-07-08,0,2025-07-12
INV0012333,CUS05548,552616.02,2025-06-05,2025-08-04,0,2025-07-12
INV0032757,CUS61232,919820.48,2025-04-23,2025-06-22,0,2025-07-12
INV0052165,CUS40010,159383.45,2024-10-02,2024-11-01,0,2025-07-12
INV0019810,CUS49472,674889.89,2025-06-20,2025-08-19,0,2025-07-12
INV0030357,CUS28971,683698.94,2024-12-09,2025-02-07,0,2025-07-12
INV0026316,CUS06578,451294.54,2025-03-17,2025-04-16,0,2025-07-12
INV0038135,CUS15891,954041.46,2024-09-04,2024-11-03,0,2025-07-12
INV0006780,CUS47704,992206.07,2024-10-14,2024-11-13,0,2025-07-12
INV0071053,CUS41803,133175.05,2024-08-05,2024-09-04,0,2025-07-12
INV0076590,CUS91777,491220.29,2025-01-25,2025-03-26,0,2025-07-12
INV0008463,CUS03829,804778.86,2024-10-15,2024-11-14,0,2025-07-12
INV0016333,CUS83636,629217.35,2024-08-07,2024-10-06,0,2025-07-12
INV0016538,CUS42027,843419.25,2025-01-04,2025-02-03,0,2025-07-12
INV0023837,CUS78689,406385.69,2025-03-31,2025-05-30,0,2025-07-12
INV0040105,CUS22387,617274.3,2025-03-11,2025-05-10,0,2025-07-12
INV0038563,CUS93869,725338.02,2024-10-17,2024-11-16,0,2025-07-12
INV0018841,CUS33623,946298.93,2024-08-23,2024-09-22,0,2025-07-12
